kappa,a,sigma,level,hmax,reference_power,reference_step,number_of_fine_steps,n_paths,rmse,backstop_fraction,mean_steps_per_path,runtime_s
2.0,1.1600000000000001,0.48166378315169184,4,0.0625,14,6.103515625e-05,16384,1000,0.0005160576353257799,0.08239250379240445,148.982,0.3711951000150293
2.0,1.1600000000000001,0.48166378315169184,5,0.03125,14,6.103515625e-05,16384,1000,0.00028235678656796884,0.07699282939446361,298.859,0.23489980003796518
2.0,1.1600000000000001,0.48166378315169184,6,0.015625,14,6.103515625e-05,16384,1000,0.00014320845338421656,0.07292862269823996,604.646,0.31227710004895926
2.0,1.1600000000000001,0.48166378315169184,7,0.0078125,14,6.103515625e-05,16384,1000,7.215713601688132e-05,0.06912471311663332,1243.101,0.43819530005566776
2.0,1.1600000000000001,0.48166378315169184,8,0.00390625,14,6.103515625e-05,16384,1000,3.552837458151322e-05,0.06377146776115931,2647.924,0.5877235000953078
2.0,1.1600000000000001,0.48166378315169184,9,0.001953125,14,6.103515625e-05,16384,1000,1.713037908905107e-05,0.10549408553055466,5207.145,0.627466700039804
2.0,1.2,0.4898979485566356,4,0.0625,14,6.103515625e-05,16384,1000,0.0005755935255166919,0.09227087976924085,152.54,0.2387622999958694
2.0,1.2,0.4898979485566356,5,0.03125,14,6.103515625e-05,16384,1000,0.00028335563163254255,0.08565759841014059,305.939,0.3262879999820143
2.0,1.2,0.4898979485566356,6,0.015625,14,6.103515625e-05,16384,1000,0.00013876503888377766,0.08167610309261697,619.055,0.3153062001802027
2.0,1.2,0.4898979485566356,7,0.0078125,14,6.103515625e-05,16384,1000,6.930358010468685e-05,0.07716346323759828,1273.271,0.4551793998107314
2.0,1.2,0.4898979485566356,8,0.00390625,14,6.103515625e-05,16384,1000,3.855703338327342e-05,0.0711760175977067,2713.99,0.45921240001916885
