kappa,a,sigma,EA,EF,IF,SIA,FT
2.000000000000000111e-01,8.000000000000000444e-01,1.264911064067351931e-01,9.700946646706853915e-01,5.069021656086066807e-01,9.187084324139475067e-01,9.372489523734530703e-01,5.126646293723742254e-01
2.000000000000000111e-01,8.400000000000000799e-01,1.296148139681572165e-01,9.624808714428886303e-01,4.955665497652357865e-01,8.725699566732318946e-01,9.306886638314462168e-01,4.981510403254022501e-01
2.000000000000000111e-01,8.800000000000000044e-01,1.326649916142160213e-01,9.123872138119193398e-01,4.887441185221795270e-01,8.761967351760824307e-01,8.563931571848035773e-01,4.979956320782804591e-01
2.000000000000000111e-01,9.200000000000000400e-01,1.356465996625053627e-01,8.914479170579524547e-01,5.003113871694045978e-01,8.528651499809145609e-01,8.591689867468949027e-01,5.047476613661778799e-01
2.000000000000000111e-01,9.600000000000000755e-01,1.385640646055102121e-01,8.351143712202038216e-01,4.934861569583245400e-01,8.119836033639128425e-01,8.340940703091938024e-01,4.991067780783512431e-01
2.000000000000000111e-01,1.000000000000000000e+00,1.414213562373095312e-01,8.333861223681553465e-01,4.966246262699446357e-01,8.272105258884164813e-01,8.145546754446830739e-01,4.929684421292155894e-01
2.000000000000000111e-01,1.040000000000000036e+00,1.442220510185595883e-01,8.308890343478001483e-01,4.893480692690881928e-01,8.145271365989985579e-01,8.257894771919224164e-01,4.904952323928092883e-01
2.000000000000000111e-01,1.080000000000000071e+00,1.469693845669907128e-01,8.025108741752353669e-01,5.105580072888052934e-01,7.792779815288346512e-01,7.816157938357899404e-01,5.060273249572937448e-01
2.000000000000000111e-01,1.120000000000000107e+00,1.496662954709576665e-01,7.895690786471708522e-01,5.172501281329759948e-01,7.446693514805324821e-01,7.828580759979550940e-01,5.110460252538474579e-01
2.000000000000000111e-01,1.160000000000000142e+00,1.523154621172781997e-01,7.458379964403012430e-01,5.095247749408592375e-01,7.407905563495773560e-01,7.646455033081948072e-01,5.017299404868839074e-01
2.000000000000000111e-01,1.199999999999999956e+00,1.549193338482966753e-01,7.300401245306730180e-01,4.928831185275019955e-01,7.366562026887640835e-01,7.462232004794036033e-01,4.924025793083293134e-01
