regime,scheme,scheme_variant,noise,payoff,n_steps,dt,n_paths,approx_mean,exact_value,signed_error,weak_error,mc_standard_error,error_to_se,runtime_s,steps_per_path,backstop_fraction,estimator,signed_error_cv,mc_standard_error_cv,error_to_se_cv,variance_reduction,batch_standard_error_cv
A,KL,uniform,shared,g2,4096,0.000244140625,200000,2.8975474281479023e-05,2.898725021392412e-05,-1.1775932445097322e-08,1.1775932445097322e-08,1.789597822813532e-07,0.06580211651455681,20.460832999001013,nan,nan,control-variate,-3.165734530793882e-08,3.3972071400044583e-09,9.318638517843594,2775.024546981891,3.077344117171183e-09
A,KL,uniform,shared,g3,4096,0.000244140625,200000,0.9802294018598804,0.9802226910132205,6.71084665998513e-06,6.71084665998513e-06,1.531962779667273e-05,0.43805546381764304,20.460832999001013,nan,nan,control-variate,4.1468160480990466e-06,5.829924983071903e-08,71.12983546340604,69051.08305060866,5.7834916780180145e-08
A,KL,uniform,shared,g4,4096,0.000244140625,200000,0.9802189614159356,0.9802079963298019,1.0965086133596226e-05,1.0965086133596226e-05,9.533454920523135e-06,1.1501691910234084,20.460832999001013,nan,nan,control-variate,2.741099619236442e-06,3.690532999965984e-08,74.27381408760488,66730.20338802379,3.6372237918193564e-08
A,IF,fixed,shared,g1,4096,0.000244140625,200000,0.01999713842215253,0.02,-2.8615778474695735e-06,2.8615778474695735e-06,1.5666006174692433e-05,0.18266160599963854,24.404353060000176,nan,nan,control-variate,-2.532937020404223e-07,6.109236828340948e-08,4.146077638787624,65757.10191243504,6.128030473521676e-08
A,IF,fixed,shared,g2,4096,0.000244140625,200000,2.8996374066435387e-05,2.898725021392412e-05,9.123852511268424e-09,9.123852511268424e-09,1.7903034780697474e-07,0.0509626028381819,24.404353060000176,nan,nan,control-variate,-1.0765655324584878e-08,3.397538339161853e-09,3.1686633821005485,2776.6719842329057,3.0618223952905597e-09
A,IF,fixed,shared,g3,4096,0.000244140625,200000,0.9802254959106695,0.9802226910132205,2.804897449112827e-06,2.804897449112827e-06,1.5319143315322592e-05,0.1830975395541406,24.404353060000176,nan,nan,control-variate,2.4121898701083066e-07,5.82284543579465e-08,4.1426307751188185,69214.71484160844,5.860398140429068e-08
A,IF,fixed,shared,g4,4096,0.000244140625,200000,0.9802163616696834,0.9802079963298019,8.365339881422462e-06,8.365339881422462e-06,9.532925204827044e-06,0.8775207716081346,24.404353060000176,nan,nan,control-variate,1.4109748917868156e-07,3.6958501199297095e-08,3.8177275755263866,66530.94156434787,3.687324397478219e-08
A,BLT,fixed,shared,g1,4096,0.000244140625,200000,0.019997113347289354,0.02,-2.88665271064712e-06,2.88665271064712e-06,1.566421731656196e-05,0.18428323945653055,33.84426560300062,nan,nan,control-variate,-2.785944746676581e-07,6.104918101311097e-08,4.5634432771150015,65835.13265267345,6.177530273439231e-08
A,BLT,fixed,shared,g2,4096,0.000244140625,200000,2.898968616093194e-05,2.898725021392412e-05,2.4359470078216817e-09,2.4359470078216817e-09,1.7899018474086647e-07,0.013609388756977543,33.84426560300062,nan,nan,control-variate,-1.745118155983682e-08,3.3971985620376358e-09,5.136933046789476,2775.981512063298,3.07279823723077e-09
A,BLT,fixed,shared,g3,4096,0.000244140625,200000,0.9802255150086606,0.9802226910132205,2.823995440194234e-06,2.823995440194234e-06,1.5317397904911422e-05,0.18436522036740577,33.84426560300062,nan,nan,control-variate,2.6053934109287935e-07,5.8184986263298296e-08,4.477776103854155,69302.37471014688,5.907818805921577e-08
A,BLT,fixed,shared,g4,4096,0.000244140625,200000,0.9802164100447536,0.9802079963298019,8.413714951584869e-06,8.413714951584869e-06,9.531709344441803e-06,0.882707880354234,33.84426560300062,nan,nan,control-variate,1.8957786534520178e-07,3.7044227767760716e-08,5.117608781959543,66206.47869116602,3.7187030019223026e-08
B,FTE,fixed,shared,g1,8,0.125,200000,0.019999482409101644,0.02,-5.17590898356135e-07,5.17590898356135e-07,3.342332668269709e-05,0.015485918061653824,0.031653249999180844,nan,nan,control-variate,6.76434519628619e-06,6.324544936617925e-06,1.069538640973504,27.928060868527087,9.20790408259883e-06
B,FTE,fixed,shared,g2,8,0.125,200000,0.00014818930825950583,0.00013225886209954651,1.5930446159959307e-05,1.5930446159959307e-05,1.0722131135908827e-06,14.857537142599977,0.031653249999180844,nan,nan,control-variate,1.6344238548985176e-05,4.1491999971298867e-07,39.39130087797871,6.6778012821247525,2.4894561024727065e-07
B,FTE,fixed,shared,g3,8,0.125,200000,0.9803079901020034,0.9802942861622658,1.3703939737655313e-05,1.3703939737655313e-05,3.245596601733942e-05,0.4222317625774583,0.031653249999180844,nan,nan,control-variate,6.836433238562784e-06,6.174633744951441e-06,1.1071803642041844,27.6290960275868,8.977422727044281e-06
B,FTE,fixed,shared,g4,8,0.125,200000,0.9801982564589347,0.9802358769207022,-3.76204617676275e-05,3.76204617676275e-05,2.0173336889663977e-05,1.8648606313069973,0.031653249999180844,nan,nan,control-variate,-3.415400436016521e-05,1.3270183248665174e-06,25.737402204751547,231.1009028641863,1.4458853104984724e-06
B,HH,fixed,shared,g1,8,0.125,200000,0.020089523639896027,0.02,8.952363989602608e-05,8.952363989602608e-05,3.396082890676871e-05,2.636085242259301,0.034981704999609065,nan,nan,control-variate,9.96256305650215e-05,8.753669090592279e-06,11.381014010695345,15.051379749649511,6.068913114388485e-06
B,HH,fixed,shared,g2,8,0.125,200000,0.00016235899869410358,0.00013225886209954651,3.0100136594557076e-05,3.0100136594557076e-05,1.2731174654517454e-06,23.642858896666322,0.034981704999609065,nan,nan,control-variate,3.052972780070565e-05,6.155138307681626e-07,49.60039283374751,4.2782023312856,4.2454323554912616e-07
B,HH,fixed,shared,g3,8,0.125,200000,0.9802230574821423,0.9802942861622658,-7.12286801234885e-05,7.12286801234885e-05,3.2889342362885305e-05,2.165707034746552,0.034981704999609065,nan,nan,control-variate,-8.087543707829832e-05,8.387608861054257e-06,9.64225185247049,15.375669655191919,5.7900337688132864e-06
B,HH,fixed,shared,g4,8,0.125,200000,0.9801834354971722,0.9802358769207022,-5.2441423530054847e-05,5.2441423530054847e-05,2.0409199416266798e-05,2.569499295903656,0.034981704999609065,nan,nan,control-variate,-5.1229766049865754e-05,3.88142448039955e-06,13.198702257010604,27.648377911338915,4.065820258332331e-06
B,ProjEuler,fixed,shared,g1,8,0.125,200000,0.020701434501358404,0.02,0.0007014345013584033,0.0007014345013584033,3.339285881546259e-05,21.005524122229495,0.030299292000563582,nan,nan,control-variate,0.0007094519877189879,8.824176781471493e-06,80.39865987370686,14.320520470444867,3.898293935973422e-06
B,ProjEuler,fixed,shared,g2,8,0.125,200000,0.00015827720003290334,0.00013225886209954651,2.6018337933356825e-05,2.6018337933356825e-05,1.1460121088400943e-06,22.70337087423151,0.030299292000563582,nan,nan,control-variate,2.64376196186917e-05,5.412004934053868e-07,48.84995475953599,4.4839632565333645,3.811169347188056e-07
B,ProjEuler,fixed,shared,g3,8,0.125,200000,0.9796198565958137,0.9802942861622658,-0.0006744295664520468,0.0006744295664520468,3.238248188436916e-05,20.826988149342256,0.030299292000563582,nan,nan,control-variate,-0.0006820304963335768,8.492031568106108e-06,80.3141734535124,14.541093353584095,3.71479363251803e-06
B,ProjEuler,fixed,shared,g4,8,0.125,200000,0.9798854806891983,0.9802358769207022,-0.0003503962315038881,0.0003503962315038881,1.9905100686531476e-05,17.60333881360264,0.030299292000563582,nan,nan,control-variate,-0.00034798874225507026,4.4061649242409085e-06,78.97769335427715,20.40832020220097,4.9066220143977465e-06
