backstop_fraction,dt,l1,l2,mean_steps_per_path,proj_post_projection_fraction,proj_pre_floor_fraction,proj_y_floor,reference,reference_n_steps,regime,runtime_s,scheme,scheme_variant,sensitivity_kind
0.4582268370607029,0.0625,0.015549103673319424,0.0334075406664275,50.08,,,,HH,4096,E,0.12060569995082915,KL,adaptive-soft-zero,strong_error
0.44558577528846516,0.03125,0.014223328521203954,0.03146819944212164,93.5555,,,,HH,4096,E,0.1852367001120001,KL,adaptive-soft-zero,strong_error
0.43111846758743533,0.015625,0.012711505594450776,0.028757749870302822,174.6005,,,,HH,4096,E,0.21264819987118244,KL,adaptive-soft-zero,strong_error
0.4142390320845153,0.0078125,0.011185945971117958,0.025736935773077424,327.136,,,,HH,4096,E,0.36811390006914735,KL,adaptive-soft-zero,strong_error
0.3997363876730005,0.00390625,0.010056784787233625,0.02366683775055486,632.368,,,,HH,4096,E,0.6529518999159336,KL,adaptive-soft-zero,strong_error
0.3750858008473573,0.001953125,0.009223873740464185,0.02114490304354763,1182.972,,,,HH,4096,E,1.0492599999997765,KL,adaptive-soft-zero,strong_error
0.4784813330417325,0.0625,0.002445511475180794,0.005703615544368652,406.949,,,,HH,4096,E,0.44126090011559427,KLM,projected,strong_error
0.49554660074496876,0.03125,0.0011918713299008219,0.003493864947899318,895.608,,,,HH,4096,E,0.6104990001767874,KLM,projected,strong_error
0.5067686992747641,0.015625,0.00152205522302604,0.0034301223073851133,1968.325,,,,HH,4096,E,1.575590900145471,KLM,projected,strong_error
0.577946849928985,0.0078125,0.0015671148065138122,0.0037569474223457314,2600.862,,,,HH,4096,E,2.2372689999174327,KLM,projected,strong_error
0.6402878862728241,0.00390625,0.0015726191863043675,0.0037918873622849974,3273.237,,,,HH,4096,E,2.1446724000852555,KLM,projected,strong_error
0.7362552972709957,0.001953125,0.0015766761510899686,0.003799942361174847,3847.264,,,,HH,4096,E,2.245735500007868,KLM,projected,strong_error
nan,0.0625,0.0004749409611646721,0.000603449457078591,16.0,,,,HH,16384,A,0.05211069993674755,FTE,fixed,strong_error
nan,0.03125,0.000289875436096179,0.0003668142578724374,32.0,,,,HH,16384,A,0.057736200047656894,FTE,fixed,strong_error
nan,0.015625,0.00019247281538300825,0.00024204623093389413,64.0,,,,HH,16384,A,0.03896999987773597,FTE,fixed,strong_error
nan,0.0078125,0.00013007839886890326,0.00016446507949793038,128.0,,,,HH,16384,A,0.03623729990795255,FTE,fixed,strong_error
nan,0.00390625,8.829745176918621e-05,0.00011090230044004001,256.0,,,,HH,16384,A,0.04765469999983907,FTE,fixed,strong_error
nan,0.001953125,6.167105830769363e-05,7.743493002944596e-05,512.0,,,,HH,16384,A,0.06971599999815226,FTE,fixed,strong_error
nan,0.0625,0.000325423111729676,0.00041417205881402004,16.0,0.0,0.0,0.0125,HH,16384,A,0.07376200007274747,ProjEuler,fixed,strong_error
nan,0.03125,0.00015359091061182767,0.00019831897132099259,32.0,0.0,0.0,0.008838834764831846,HH,16384,A,0.04424940003082156,ProjEuler,fixed,strong_error
nan,0.015625,7.826684023284089e-05,9.908069959662272e-05,64.0,0.0,0.0,0.00625,HH,16384,A,0.032295200042426586,ProjEuler,fixed,strong_error
nan,0.0078125,3.779174684552529e-05,4.846484895003155e-05,128.0,0.0,0.0,0.004419417382415923,HH,16384,A,0.03679560008458793,ProjEuler,fixed,strong_error
nan,0.00390625,1.9270233003380154e-05,2.451732605261282e-05,256.0,0.0,0.0,0.003125,HH,16384,A,0.04413359984755516,ProjEuler,fixed,strong_error
nan,0.001953125,9.447927089838368e-06,1.205050278430367e-05,512.0,0.0,0.0,0.0022097086912079614,HH,16384,A,0.06521539995446801,ProjEuler,fixed,strong_error
nan,0.0625,0.0010657082711250264,0.0011120894615549827,16.0,,,,HH,16384,A,0.053867700044065714,KL,uniform,strong_error
nan,0.03125,0.0005405580391267866,0.0005626845834077794,32.0,,,,HH,16384,A,0.04214420006610453,KL,uniform,strong_error
nan,0.015625,0.00027043698031792475,0.00028188736672907065,64.0,,,,HH,16384,A,0.03622790006920695,KL,uniform,strong_error
nan,0.0078125,0.00013558394659981865,0.0001414978464124382,128.0,,,,HH,16384,A,0.03448950010351837,KL,uniform,strong_error
nan,0.00390625,6.729653372549262e-05,7.024425177502246e-05,256.0,,,,HH,16384,A,0.040406399872154,KL,uniform,strong_error
nan,0.001953125,3.380582838005686e-05,3.525918981175458e-05,512.0,,,,HH,16384,A,0.07745420001447201,KL,uniform,strong_error
0.0,0.0625,4.0946414764473306e-05,5.2694452528157024e-05,118.155,,,,HH,16384,A,0.591801900183782,KLM,implicit,strong_error
0.0,0.03125,2.124246384293895e-05,2.734678346722721e-05,236.688,,,,HH,16384,A,0.6319713999982923,KLM,implicit,strong_error
0.0,0.015625,1.0600924699609407e-05,1.355605339621407e-05,476.385,,,,HH,16384,A,0.7010284999851137,KLM,implicit,strong_error
0.0,0.0078125,4.995800686647289e-06,6.3699797145998966e-06,966.835,,,,HH,16384,A,0.7384411001112312,KLM,implicit,strong_error
0.0,0.00390625,2.33074913943102e-06,3.007470965419781e-06,1995.537,,,,HH,16384,A,1.027010900201276,KLM,implicit,strong_error
0.0,0.001953125,1.0095850827674797e-06,1.2952231693039988e-06,4278.0555,,,,HH,16384,A,1.7176848000381142,KLM,implicit,strong_error
nan,0.0625,0.0033072828779254567,0.0046398343201321,16.0,,,,HH,16384,C,0.05970100010745227,FTE,fixed,strong_error
nan,0.03125,0.002404769881754369,0.0033538308888852405,32.0,,,,HH,16384,C,0.04659309983253479,FTE,fixed,strong_error
nan,0.015625,0.0016219286050997296,0.0022115886273578692,64.0,,,,HH,16384,C,0.032998899929225445,FTE,fixed,strong_error
nan,0.0078125,0.0011348275626552268,0.0015576038574445009,128.0,,,,HH,16384,C,0.04410040006041527,FTE,fixed,strong_error
nan,0.00390625,0.0007868358123417792,0.0010608018004340095,256.0,,,,HH,16384,C,0.043149400036782026,FTE,fixed,strong_error
nan,0.001953125,0.0005472733947871516,0.0007413023294946183,512.0,,,,HH,16384,C,0.06513669993728399,FTE,fixed,strong_error
nan,0.0625,0.001136917067636615,0.0016657184332593106,16.0,0.0565,0.05246875,0.035355339059327376,HH,16384,C,0.059703399892896414,ProjEuler,fixed,strong_error
nan,0.03125,0.0005702528405246493,0.0008730833026114604,32.0,0.0265625,0.0255,0.025,HH,16384,C,0.05257509998045862,ProjEuler,fixed,strong_error
nan,0.015625,0.0003000732692904597,0.0004728852171321508,64.0,0.013,0.0127265625,0.017677669529663688,HH,16384,C,0.03196509997360408,ProjEuler,fixed,strong_error
nan,0.0078125,0.00015916809893806765,0.0002637596109386915,128.0,0.0064453125,0.006390625,0.0125,HH,16384,C,0.0331882000900805,ProjEuler,fixed,strong_error
nan,0.00390625,8.400729904346599e-05,0.00014140707235366795,256.0,0.003171875,0.003166015625,0.008838834764831844,HH,16384,C,0.04886370012536645,ProjEuler,fixed,strong_error
nan,0.001953125,4.465834983425827e-05,8.036298045305138e-05,512.0,0.0016005859375,0.001599609375,0.00625,HH,16384,C,0.07337630004622042,ProjEuler,fixed,strong_error
nan,0.0625,0.0011971396448979892,0.001642552575846213,16.0,,,,HH,16384,C,0.06457679998129606,KL,uniform,strong_error
nan,0.03125,0.0006170883612196198,0.000829060494023057,32.0,,,,HH,16384,C,0.04241240001283586,KL,uniform,strong_error
nan,0.015625,0.00031730600282838016,0.0004305404701851897,64.0,,,,HH,16384,C,0.028163899900391698,KL,uniform,strong_error
nan,0.0078125,0.00016126398602593292,0.0002227770745685626,128.0,,,,HH,16384,C,0.029360000044107437,KL,uniform,strong_error
nan,0.00390625,8.217872301506099e-05,0.00011557727934363094,256.0,,,,HH,16384,C,0.03442779998295009,KL,uniform,strong_error
nan,0.001953125,4.1734842226683066e-05,5.909043985302568e-05,512.0,,,,HH,16384,C,0.0708773999940604,KL,uniform,strong_error
0.05693851093264654,0.0625,9.814755299021535e-05,0.00014631413144471786,172.3965,,,,HH,16384,C,0.6277177000883967,KLM,implicit,strong_error
0.05450865025443622,0.03125,4.793123275152411e-05,7.165277150907792e-05,346.5505,,,,HH,16384,C,0.6253015000838786,KLM,implicit,strong_error
0.052503996230803505,0.015625,2.4510365113952832e-05,3.7025710032292366e-05,702.537,,,,HH,16384,C,1.1650015998166054,KLM,implicit,strong_error
0.05016770895790552,0.0078125,1.155306004976717e-05,1.6841144611569854e-05,1448.4915,,,,HH,16384,C,1.5853184999432415,KLM,implicit,strong_error
0.04645346621909556,0.00390625,5.874579323429979e-06,9.002711700587125e-06,3103.4175,,,,HH,16384,C,3.1760928998701274,KLM,implicit,strong_error
0.09131871788946828,0.001953125,3.2629870643734623e-06,5.941613032832387e-06,6242.5975,,,,HH,16384,C,4.429427100112662,KLM,implicit,strong_error
nan,0.0625,0.009795688250035583,0.016911102853008828,16.0,,,,HH,16384,D,0.05320989992469549,FTE,fixed,strong_error
nan,0.03125,0.008186855189600292,0.013893344443664801,32.0,,,,HH,16384,D,0.04454320017248392,FTE,fixed,strong_error
nan,0.015625,0.006309178316728358,0.01083407239622922,64.0,,,,HH,16384,D,0.032296399818733335,FTE,fixed,strong_error
nan,0.0078125,0.005070290728999014,0.009030598416552703,128.0,,,,HH,16384,D,0.036690999986603856,FTE,fixed,strong_error
nan,0.00390625,0.003948874049702232,0.006908516669546706,256.0,,,,HH,16384,D,0.043886200059205294,FTE,fixed,strong_error
nan,0.001953125,0.003105436275422451,0.0056709301941059685,512.0,,,,HH,16384,D,0.07201140001416206,FTE,fixed,strong_error
nan,0.0625,0.006470002212597158,0.008920131467390804,16.0,0.29603125,0.27778125,0.0625,HH,16384,D,0.06487410003319383,ProjEuler,fixed,strong_error
nan,0.03125,0.004286990552982008,0.006205752711236171,32.0,0.214796875,0.207984375,0.04419417382415922,HH,16384,D,0.04647530009970069,ProjEuler,fixed,strong_error
nan,0.015625,0.002958868023176781,0.004516993027364696,64.0,0.1607421875,0.1578984375,0.03125,HH,16384,D,0.03613230003975332,ProjEuler,fixed,strong_error
nan,0.0078125,0.002172176369489353,0.0034597904165232065,128.0,0.1224921875,0.12136328125,0.02209708691207961,HH,16384,D,0.03561010002158582,ProjEuler,fixed,strong_error
nan,0.00390625,0.0015291639329092304,0.0024725129799331915,256.0,0.093646484375,0.093248046875,0.015625,HH,16384,D,0.048534000059589744,ProjEuler,fixed,strong_error
nan,0.001953125,0.0010810427192106248,0.001828502830752712,512.0,0.0727705078125,0.072607421875,0.011048543456039806,HH,16384,D,0.09010110003873706,ProjEuler,fixed,strong_error
0.279349762135594,0.0625,0.005943172285749535,0.010476140582217975,22.1765,,,,HH,16384,D,0.4150270000100136,KL,adaptive-soft-zero,strong_error
0.23489973423532254,0.03125,0.0045984216292122996,0.00824666572830757,41.39,,,,HH,16384,D,0.47707839985378087,KL,adaptive-soft-zero,strong_error
0.19620087975606185,0.015625,0.0034185185655078243,0.006280294584383833,78.5445,,,,HH,16384,D,0.5368485001381487,KL,adaptive-soft-zero,strong_error
0.16062931951089846,0.0078125,0.0026921198261418847,0.004855639791322256,150.48,,,,HH,16384,D,0.5930946001317352,KL,adaptive-soft-zero,strong_error
0.13437560997325534,0.00390625,0.0020643426812510563,0.0037161000035564034,292.021,,,,HH,16384,D,0.6154679001774639,KL,adaptive-soft-zero,strong_error
0.10939091697617259,0.001953125,0.001705882171953287,0.0032033548852859863,568.379,,,,HH,16384,D,0.6676711000036448,KL,adaptive-soft-zero,strong_error
0.3558812440643508,0.0625,0.000778430140215786,0.0013215448092887632,314.3085,,,,HH,16384,D,0.7386068000923842,KLM,projected,strong_error
0.37639572540850125,0.03125,0.0005105419659881678,0.0008794415756454553,650.916,,,,HH,16384,D,1.277781300013885,KLM,projected,strong_error
0.39000718653872624,0.015625,0.0003223458198374162,0.0005683340661813311,1347.6585,,,,HH,16384,D,1.9794481999706477,KLM,projected,strong_error
