regime,scheme,scheme_variant,reference,reference_n_steps,adaptive_grid_steps,dt,l1,l2,runtime_s,mean_steps_per_path,backstop_fraction,n_paths,signature_hash,coarse_n_steps,reference_grid,schemes,master_seed
D,KLM,adaptive-backstop,HH,262144,131072,0.0625,0.0010423433529330036,0.001818797268756231,2.608961651999948,314.48695,0.358796923051974,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,1048576,131072,0.0625,0.0011108718984249892,0.0019315716153387522,2.608961651999948,314.48695,0.358796923051974,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,4194304,131072,0.0625,0.0011592343066648156,0.0020255884936276887,2.608961651999948,314.48695,0.358796923051974,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,262144,131072,0.03125,0.0007746714810890744,0.00138665578506538,2.8039011439999513,646.707,0.3810972356878772,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,1048576,131072,0.03125,0.0008452385244183377,0.001503994609349989,2.8039011439999513,646.707,0.3810972356878772,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,4194304,131072,0.03125,0.0008943332718451641,0.0016006502942586254,2.8039011439999513,646.707,0.3810972356878772,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,262144,131072,0.015625,0.0005566068815225316,0.0010553288175696863,3.1537342200001603,1322.4943,0.39986478580663826,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,1048576,131072,0.015625,0.0006247546869401872,0.0011697481381016692,3.1537342200001603,1322.4943,0.39986478580663826,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,4194304,131072,0.015625,0.0006736968402918852,0.0012647433779423148,3.1537342200001603,1322.4943,0.39986478580663826,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,262144,131072,0.0078125,0.00039855488106346613,0.0007898867510295663,3.8282576150000978,2693.61385,0.4124062363281953,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,1048576,131072,0.0078125,0.0004633639104463129,0.0009047333136630084,3.8282576150000978,2693.61385,0.4124062363281953,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,4194304,131072,0.0078125,0.0005108001731793936,0.0010052248461640662,3.8282576150000978,2693.61385,0.4124062363281953,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,262144,131072,0.00390625,0.00028022229897217,0.0005947945052037955,5.234291492999887,5483.22185,0.41957997741783876,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,1048576,131072,0.00390625,0.00034368113898244776,0.0007065633409906478,5.234291492999887,5483.22185,0.41957997741783876,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
D,KLM,adaptive-backstop,HH,4194304,131072,0.00390625,0.0003899377413812731,0.000807107965982532,5.234291492999887,5483.22185,0.41957997741783876,20000,e2cec9b6ee760e24,"8,16,32,64,128,256","262144,1048576,4194304","FTE,ProjEuler,KL,KLM",120339106
