sensitivity_kind,kappa,a,sigma,level,hmax,reference_power,reference_step,number_of_fine_steps,n_paths,rmse,backstop_fraction,mean_steps_per_path,runtime_s
klm_fig3_jax,2.0,1.1542857142857144,0.4804759545046379,5,0.03125,16,1.52587890625e-05,65536,256,0.00038272464243422163,0.07714164320994212,294.203125,0.43158630400000675
klm_fig3_jax,2.0,1.1542857142857144,0.4804759545046379,6,0.015625,16,1.52587890625e-05,65536,256,0.00016337799885041888,0.07432530999270605,589.1015625,0.4713274419999607
klm_fig3_jax,2.0,1.1542857142857144,0.4804759545046379,7,0.0078125,16,1.52587890625e-05,65536,256,8.459159553917919e-05,0.0723842557484718,1184.7578125,0.5201256290000629
klm_fig3_jax,2.0,1.1542857142857144,0.4804759545046379,8,0.00390625,16,1.52587890625e-05,65536,256,3.806553980553106e-05,0.07015831018642818,2400.59765625,0.6442141149999543
klm_fig3_jax,2.0,1.1542857142857144,0.4804759545046379,9,0.001953125,16,1.52587890625e-05,65536,256,1.79496667733755e-05,0.06764327594943513,4941.36328125,0.9017838909999227
klm_fig3_jax,2.0,1.3771428571428572,0.5248128918277175,4,0.0625,16,1.52587890625e-05,65536,256,0.000804023340888787,0.13701732268758463,167.3203125,0.4280916050000769
klm_fig3_jax,2.0,1.3771428571428572,0.5248128918277175,5,0.03125,16,1.52587890625e-05,65536,256,0.000346962173432823,0.12865928659286593,333.45703125,0.4354634269999451
klm_fig3_jax,2.0,1.3771428571428572,0.5248128918277175,6,0.015625,16,1.52587890625e-05,65536,256,0.00021382855898261554,0.12416567132719736,667.171875,0.4689214450000918
klm_fig3_jax,2.0,1.3771428571428572,0.5248128918277175,7,0.0078125,16,1.52587890625e-05,65536,256,0.00010280206486040585,0.12047849035071631,1341.78515625,0.5271005070000001
klm_fig3_jax,2.0,1.3771428571428572,0.5248128918277175,8,0.00390625,16,1.52587890625e-05,65536,256,5.261137297505857e-05,0.1169969397265428,2720.08984375,0.662799941000003
klm_fig3_jax,2.0,1.3771428571428572,0.5248128918277175,9,0.001953125,16,1.52587890625e-05,65536,256,2.2673521160809784e-05,0.11231375870008203,5609.0078125,0.9629355160000159
klm_fig3_jax,2.0,1.6,0.5656854249492381,4,0.0625,16,1.52587890625e-05,65536,256,0.0009064241384762307,0.19934098727566626,188.4921875,0.4236814500000037
klm_fig3_jax,2.0,1.6,0.5656854249492381,5,0.03125,16,1.52587890625e-05,65536,256,0.000499229717368803,0.18791569670768207,375.875,0.43859903300005953
klm_fig3_jax,2.0,1.6,0.5656854249492381,6,0.015625,16,1.52587890625e-05,65536,256,0.0002646631452044509,0.18137239607708547,751.1953125,0.5008675840000478
klm_fig3_jax,2.0,1.6,0.5656854249492381,7,0.0078125,16,1.52587890625e-05,65536,256,0.00015639136322286615,0.1755353708444532,1509.06640625,0.5441110350000145
klm_fig3_jax,2.0,1.6,0.5656854249492381,8,0.00390625,16,1.52587890625e-05,65536,256,7.834361179040262e-05,0.17042374764676882,3058.4609375,0.6894625930000302
klm_fig3_jax,2.0,1.6,0.5656854249492381,9,0.001953125,16,1.52587890625e-05,65536,256,4.412156830458019e-05,0.16288761310220537,6307.3828125,1.0136087699999052
klm_fig3_jax,2.0,0.0,0.0,4,0.0625,18,3.814697265625e-06,262144,256,0.00011568142321844584,0.0,85.0,0.6976784309999857
klm_fig3_jax,2.0,0.0,0.0,5,0.03125,18,3.814697265625e-06,262144,256,5.785523263460157e-05,0.0,170.0,0.4022191120000116
klm_fig3_jax,2.0,0.0,0.0,6,0.015625,18,3.814697265625e-06,262144,256,2.8930534867376015e-05,0.0,339.0,0.4150218610000138
klm_fig3_jax,2.0,0.0,0.0,7,0.0078125,18,3.814697265625e-06,262144,256,1.4474560077970544e-05,0.0,678.0,0.418941221999944
klm_fig3_jax,2.0,0.0,0.0,8,0.00390625,18,3.814697265625e-06,262144,256,7.24790143915438e-06,0.0,1357.0,0.6807615530000248
klm_fig3_jax,2.0,0.0,0.0,9,0.001953125,18,3.814697265625e-06,262144,256,3.6329561805478745e-06,0.0,2722.0,0.4937622159999364
klm_fig3_jax,2.0,0.04,0.08944271909999159,4,0.0625,18,3.814697265625e-06,262144,256,0.00017985362051540027,0.0,86.09765625,0.4048586349999823
klm_fig3_jax,2.0,0.04,0.08944271909999159,5,0.03125,18,3.814697265625e-06,262144,256,9.135452408348544e-05,0.0,171.63671875,0.415182419999951
klm_fig3_jax,2.0,0.04,0.08944271909999159,6,0.015625,18,3.814697265625e-06,262144,256,4.404078761638158e-05,0.0,342.85546875,0.42607249100001354
klm_fig3_jax,2.0,0.04,0.08944271909999159,7,0.0078125,18,3.814697265625e-06,262144,256,2.2645552030415182e-05,0.0,685.53125,0.45318715299993073
klm_fig3_jax,2.0,0.04,0.08944271909999159,8,0.00390625,18,3.814697265625e-06,262144,256,1.124094537068701e-05,0.0,1372.32421875,0.45555627099997764
